"index","pet_id","visit_date","issue","resolution"
"45","6602","2023-09-18","Annual Checkup","Vaccination completed, next due in 1 year"
"46","1382","2023-03-26","Injury","Minor surgery performed, recovery monitored"
"47","3057","2023-03-25","Annual Checkup","Diet adjustment recommended for weight management"
"48","217","2023-06-12","Annual Checkup","All clear, healthy diet recommended"
"49","6963","2023-11-14","Ear Infection","Medication and follow-up in 2 weeks for infection"
"50","6454","2022-07-18","Annual Checkup","All clear, healthy diet recommended"
"51","3224","2023-09-14","Ear Infection","Medication and follow-up in 2 weeks for infection"
"52","8903","2022-08-01","Dental Cleaning","Cleaning done, no dental issues"
"53","2726","2023-07-15","Annual Checkup","Diet adjustment recommended for weight management"
"54","3154","2023-03-15","Injury","Sprain identified, rest and limited movement advised"
"55","556","2023-02-28","Annual Checkup","Vaccination completed, next due in 1 year"
"56","3884","2022-04-02","Ear Infection","Medication and follow-up in 2 weeks for infection"
"57","3828","2022-06-11","Annual Checkup","Vaccination completed, next due in 1 year"
"58","6141","2022-05-15","Dental Cleaning","Cleaning done, no dental issues"
"59","5501","2023-04-29","Annual Checkup","Diet adjustment recommended for weight management"
"60","5071","2023-10-23","Annual Checkup","All clear, healthy diet recommended"
"61","8342","2022-04-05","Annual Checkup","Diet adjustment recommended for weight management"
"62","5823","2023-02-13","Ear Infection","Medication and follow-up in 2 weeks for infection"
"63","8702","2022-04-07","Injury","Physical therapy recommended for joint issues"
"64","2898","2023-12-30","Dental Cleaning","Cleaning done, no dental issues"
"65","4955","2022-11-06","Dental Cleaning","Cleaning done, no dental issues"
"66","6141","2023-01-01","Injury","Sprain identified, rest and limited movement advised"
"67","2777","2023-11-08","Dental Cleaning","Cleaning done, no dental issues"
"68","4307","2023-10-16","Injury","Sprain identified, rest and limited movement advised"
"69","3370","2023-06-20","Dental Cleaning","Cleaning done, no dental issues"
"70","8705","2023-03-21","Annual Checkup","Vaccination completed, next due in 1 year"
"71","3856","2022-05-27","Ear Infection","Medication and follow-up in 2 weeks for infection"
"72","556","2023-12-23","Annual Checkup","Vaccination completed, next due in 1 year"
"73","579","2023-01-20","Dental Cleaning","Cleaning done, no dental issues"
"74","4834","2023-11-10","Injury","Sprain identified, rest and limited movement advised"
"75","4899","2022-05-02","Annual Checkup","Diet adjustment recommended for weight management"
"76","5243","2022-11-22","Annual Checkup","Diet adjustment recommended for weight management"
"77","2549","2022-09-28","Injury","Sprain identified, rest and limited movement advised"
"78","579","2023-04-07","Dental Cleaning","Cleaning done, no dental issues"
"79","1303","2023-01-28","Annual Checkup","Diet adjustment recommended for weight management"
"80","8177","2023-08-14","Injury","Sprain identified, rest and limited movement advised"
"81","1963","2023-10-08","Annual Checkup","All clear, healthy diet recommended"
"82","1173","2023-02-14","Annual Checkup","Diet adjustment recommended for weight management"
"83","9466","2022-07-17","Annual Checkup","All clear, healthy diet recommended"
"84","3936","2022-07-10","Annual Checkup","Vaccination completed, next due in 1 year"
"85","8047","2023-09-21","Dental Cleaning","Cleaning done, no dental issues"
"86","8691","2022-11-11","Annual Checkup","All clear, healthy diet recommended"
"87","6032","2023-12-01","Annual Checkup","Diet adjustment recommended for weight management"
"88","9236","2022-04-27","Injury","Physical therapy recommended for joint issues"
"89","2912","2022-12-30","Ear Infection","Medication and follow-up in 2 weeks for infection"
"90","3040","2023-08-09","Dental Cleaning","Cleaning done, no dental issues"
"91","5421","2023-06-09","Annual Checkup","Vaccination completed, next due in 1 year"
"92","1057","2023-03-20","Dental Cleaning","Cleaning done, no dental issues"
"93","7975","2023-09-18","Annual Checkup","Diet adjustment recommended for weight management"
"94","9684","2022-07-29","Dental Cleaning","Cleaning done, no dental issues"
"95","3100","2022-08-25","Dental Cleaning","Cleaning done, no dental issues"
"96","2513","2022-10-24","Injury","Physical therapy recommended for joint issues"
"97","6901","2023-05-13","Dental Cleaning","Cleaning done, no dental issues"
"98","5090","2023-02-27","Annual Checkup","All clear, healthy diet recommended"
"99","2882","2022-07-02","Annual Checkup","Vaccination completed, next due in 1 year"
"100","741","2022-11-08","Injury","Physical therapy recommended for joint issues"
"101","3612","2023-12-04","Dental Cleaning","Cleaning done, no dental issues"
"102","9946","2023-01-13","Dental Cleaning","Cleaning done, no dental issues"
"103","5323","2022-06-19","Injury","Sprain identified, rest and limited movement advised"
"104","3484","2023-10-09","Injury","Physical therapy recommended for joint issues"
"105","4768","2023-04-18","Annual Checkup","All clear, healthy diet recommended"
"106","5198","2022-07-11","Annual Checkup","Vaccination completed, next due in 1 year"
"107","601","2023-07-21","Annual Checkup","Vaccination completed, next due in 1 year"
"108","1292","2023-10-20","Annual Checkup","All clear, healthy diet recommended"
"109","3304","2023-06-25","Injury","Minor surgery performed, recovery monitored"
"110","4410","2023-02-13","Dental Cleaning","Cleaning done, no dental issues"
"111","6480","2022-09-27","Ear Infection","Medication and follow-up in 2 weeks for infection"
"112","8318","2022-05-03","Annual Checkup","Vaccination completed, next due in 1 year"
"113","5789","2023-09-26","Annual Checkup","Diet adjustment recommended for weight management"
"114","637","2022-10-12","Annual Checkup","Vaccination completed, next due in 1 year"
"115","3190","2023-01-10","Ear Infection","Medication and follow-up in 2 weeks for infection"
"116","2805","2023-08-02","Annual Checkup","Diet adjustment recommended for weight management"
"117","1334","2022-04-30","Annual Checkup","All clear, healthy diet recommended"
"118","3370","2023-09-04","Ear Infection","Medication and follow-up in 2 weeks for infection"
"119","5017","2023-03-04","Injury","Physical therapy recommended for joint issues"
"120","7352","2023-12-07","Dental Cleaning","Cleaning done, no dental issues"
"121","833","2022-12-15","Dental Cleaning","Cleaning done, no dental issues"
"122","7799","2022-04-19","Annual Checkup","All clear, healthy diet recommended"
"123","1322","2023-04-17","Dental Cleaning","Cleaning done, no dental issues"
"124","9706","2023-09-27","Injury","Minor surgery performed, recovery monitored"
"125","1735","2023-09-20","Annual Checkup","Vaccination completed, next due in 1 year"
"126","6087","2023-07-13","Annual Checkup","Diet adjustment recommended for weight management"
"127","500","2023-09-24","Annual Checkup","Vaccination completed, next due in 1 year"
"128","3057","2023-08-10","Annual Checkup","Diet adjustment recommended for weight management"
"129","5563","2022-11-15","Annual Checkup","Diet adjustment recommended for weight management"
"130","6838","2022-06-20","Annual Checkup","Vaccination completed, next due in 1 year"
"131","3300","2023-09-05","Annual Checkup","All clear, healthy diet recommended"
"132","5008","2023-10-29","Annual Checkup","Vaccination completed, next due in 1 year"
"133","83","2022-06-16","Dental Cleaning","Cleaning done, no dental issues"
"134","5610","2022-10-15","Injury","Minor surgery performed, recovery monitored"
"135","8412","2023-10-16","Annual Checkup","All clear, healthy diet recommended"
"136","1417","2022-09-22","Injury","Sprain identified, rest and limited movement advised"
"137","7936","2023-09-20","Injury","Minor surgery performed, recovery monitored"
"138","3088","2023-03-23","Annual Checkup","Vaccination completed, next due in 1 year"
"139","7022","2023-03-28","Annual Checkup","Diet adjustment recommended for weight management"
"140","309","2023-05-02","Annual Checkup","Diet adjustment recommended for weight management"
"141","3530","2023-03-01","Annual Checkup","All clear, healthy diet recommended"
"142","4777","2022-08-14","Annual Checkup","Vaccination completed, next due in 1 year"
"143","7970","2023-08-19","Dental Cleaning","Cleaning done, no dental issues"
"144","997","2022-05-05","Annual Checkup","Vaccination completed, next due in 1 year"
"145","4074","2023-08-10","Injury","Sprain identified, rest and limited movement advised"
"146","1060","2022-08-02","Dental Cleaning","Cleaning done, no dental issues"
"147","9968","2023-04-30","Annual Checkup","All clear, healthy diet recommended"
"148","2893","2023-12-14","Annual Checkup","Vaccination completed, next due in 1 year"
"149","9030","2023-09-03","Injury","Minor surgery performed, recovery monitored"
"150","3484","2023-06-27","Dental Cleaning","Cleaning done, no dental issues"
"151","9357","2023-04-25","Ear Infection","Medication and follow-up in 2 weeks for infection"
"152","236","2022-06-03","Injury","Minor surgery performed, recovery monitored"
"153","5925","2022-06-26","Annual Checkup","All clear, healthy diet recommended"
"154","6331","2022-07-14","Annual Checkup","Vaccination completed, next due in 1 year"
"155","3026","2022-04-09","Injury","Physical therapy recommended for joint issues"
"156","5008","2023-01-23","Annual Checkup","Vaccination completed, next due in 1 year"
"157","2218","2022-06-03","Annual Checkup","Diet adjustment recommended for weight management"
"158","215","2022-12-14","Dental Cleaning","Cleaning done, no dental issues"
"159","4768","2023-10-10","Annual Checkup","Diet adjustment recommended for weight management"
"160","1366","2022-12-03","Ear Infection","Medication and follow-up in 2 weeks for infection"
"161","7706","2023-11-05","Dental Cleaning","Cleaning done, no dental issues"
"162","4690","2023-09-01","Annual Checkup","Vaccination completed, next due in 1 year"
"163","5610","2022-07-20","Dental Cleaning","Cleaning done, no dental issues"
"164","4947","2023-08-27","Injury","Minor surgery performed, recovery monitored"
"165","8805","2023-05-25","Ear Infection","Medication and follow-up in 2 weeks for infection"
"166","9227","2023-01-06","Annual Checkup","All clear, healthy diet recommended"
"167","6816","2022-05-09","Annual Checkup","Vaccination completed, next due in 1 year"
"168","5414","2023-06-05","Injury","Sprain identified, rest and limited movement advised"
"169","9319","2022-04-05","Annual Checkup","Vaccination completed, next due in 1 year"
"170","5747","2023-04-04","Annual Checkup","All clear, healthy diet recommended"
"171","248","2022-11-06","Annual Checkup","Diet adjustment recommended for weight management"
"172","8967","2022-07-12","Annual Checkup","Vaccination completed, next due in 1 year"
"173","9946","2023-07-12","Dental Cleaning","Cleaning done, no dental issues"
"174","2733","2023-11-06","Annual Checkup","Vaccination completed, next due in 1 year"
"175","309","2022-10-31","Annual Checkup","Vaccination completed, next due in 1 year"
"176","3830","2023-04-29","Annual Checkup","All clear, healthy diet recommended"
"177","6934","2023-03-18","Annual Checkup","Diet adjustment recommended for weight management"
"178","6205","2023-07-08","Annual Checkup","Diet adjustment recommended for weight management"
"179","3420","2022-09-30","Annual Checkup","Vaccination completed, next due in 1 year"
"180","7785","2023-04-14","Annual Checkup","All clear, healthy diet recommended"
"181","9960","2022-04-02","Annual Checkup","Diet adjustment recommended for weight management"
"182","986","2023-04-18","Annual Checkup","Diet adjustment recommended for weight management"
"183","1322","2022-06-15","Injury","Sprain identified, rest and limited movement advised"
"184","8710","2022-12-19","Dental Cleaning","Cleaning done, no dental issues"
"185","5540","2022-08-30","Annual Checkup","Diet adjustment recommended for weight management"
"186","6032","2022-09-20","Injury","Sprain identified, rest and limited movement advised"
"187","4073","2022-09-15","Annual Checkup","Diet adjustment recommended for weight management"
"188","9922","2022-06-05","Annual Checkup","Vaccination completed, next due in 1 year"
"189","5301","2023-07-09","Dental Cleaning","Cleaning done, no dental issues"
"190","1297","2022-05-05","Annual Checkup","Vaccination completed, next due in 1 year"
"191","6620","2023-07-02","Annual Checkup","Diet adjustment recommended for weight management"
"192","9230","2022-10-22","Injury","Sprain identified, rest and limited movement advised"
"193","4339","2023-01-04","Dental Cleaning","Cleaning done, no dental issues"
"194","9472","2023-11-12","Dental Cleaning","Cleaning done, no dental issues"
"195","9706","2023-10-12","Dental Cleaning","Cleaning done, no dental issues"
"196","6851","2023-09-14","Annual Checkup","All clear, healthy diet recommended"
"197","6315","2023-05-05","Injury","Minor surgery performed, recovery monitored"
"198","2549","2023-12-22","Injury","Physical therapy recommended for joint issues"
"199","9659","2023-08-12","Ear Infection","Medication and follow-up in 2 weeks for infection"
"200","3520","2022-12-31","Annual Checkup","Vaccination completed, next due in 1 year"
"201","6087","2022-07-12","Dental Cleaning","Cleaning done, no dental issues"
"202","774","2023-12-22","Annual Checkup","Diet adjustment recommended for weight management"
"203","8396","2022-04-29","Injury","Minor surgery performed, recovery monitored"
"204","5468","2022-05-13","Dental Cleaning","Cleaning done, no dental issues"
"205","9187","2022-08-17","Injury","Physical therapy recommended for joint issues"
"206","7298","2023-10-26","Dental Cleaning","Cleaning done, no dental issues"
"207","1309","2022-10-30","Annual Checkup","Vaccination completed, next due in 1 year"
"208","9357","2023-11-24","Ear Infection","Medication and follow-up in 2 weeks for infection"
"209","1060","2022-04-09","Injury","Minor surgery performed, recovery monitored"
"210","6032","2023-11-23","Annual Checkup","Vaccination completed, next due in 1 year"
"211","6102","2022-10-12","Ear Infection","Medication and follow-up in 2 weeks for infection"
"212","8586","2023-09-27","Annual Checkup","Vaccination completed, next due in 1 year"
"213","4074","2022-09-04","Annual Checkup","All clear, healthy diet recommended"
"214","7788","2022-07-04","Injury","Minor surgery performed, recovery monitored"
"215","217","2023-05-20","Annual Checkup","All clear, healthy diet recommended"
"216","5501","2023-10-22","Annual Checkup","Vaccination completed, next due in 1 year"
"217","9578","2023-01-14","Annual Checkup","Diet adjustment recommended for weight management"
"218","627","2022-10-03","Annual Checkup","All clear, healthy diet recommended"
"219","8177","2022-08-04","Injury","Sprain identified, rest and limited movement advised"
"220","6609","2022-11-05","Ear Infection","Medication and follow-up in 2 weeks for infection"
"221","751","2023-09-26","Annual Checkup","Diet adjustment recommended for weight management"
"222","2735","2023-03-18","Annual Checkup","All clear, healthy diet recommended"
"223","7785","2023-07-25","Ear Infection","Medication and follow-up in 2 weeks for infection"
"224","9813","2023-01-01","Annual Checkup","All clear, healthy diet recommended"
"225","6409","2023-04-14","Annual Checkup","Vaccination completed, next due in 1 year"
"226","7970","2022-10-17","Dental Cleaning","Cleaning done, no dental issues"
"227","9718","2022-09-22","Annual Checkup","All clear, healthy diet recommended"
"228","9191","2023-10-25","Annual Checkup","All clear, healthy diet recommended"
"229","309","2022-05-20","Injury","Sprain identified, rest and limited movement advised"
"230","1169","2022-12-26","Ear Infection","Medication and follow-up in 2 weeks for infection"
"231","8804","2022-06-02","Annual Checkup","All clear, healthy diet recommended"
"232","4778","2023-10-06","Annual Checkup","All clear, healthy diet recommended"
"233","7281","2022-05-23","Annual Checkup","Diet adjustment recommended for weight management"
"234","4912","2022-10-31","Annual Checkup","Diet adjustment recommended for weight management"
"235","6816","2023-11-02","Annual Checkup","Diet adjustment recommended for weight management"
"236","4539","2022-11-19","Annual Checkup","Diet adjustment recommended for weight management"
"237","6121","2022-11-23","Annual Checkup","Vaccination completed, next due in 1 year"
"238","5503","2023-04-30","Annual Checkup","Diet adjustment recommended for weight management"
"239","8518","2022-04-05","Annual Checkup","Vaccination completed, next due in 1 year"
"240","1417","2022-06-26","Injury","Minor surgery performed, recovery monitored"
"241","2882","2022-09-07","Dental Cleaning","Cleaning done, no dental issues"
"242","1057","2023-02-23","Injury","Physical therapy recommended for joint issues"
"243","7833","2022-06-28","Annual Checkup","All clear, healthy diet recommended"
"244","6241","2022-05-18","Annual Checkup","Diet adjustment recommended for weight management"
"245","2805","2022-07-05","Ear Infection","Medication and follow-up in 2 weeks for infection"
"246","637","2022-05-11","Annual Checkup","All clear, healthy diet recommended"
"247","5198","2022-06-25","Annual Checkup","All clear, healthy diet recommended"
"248","8226","2022-11-06","Annual Checkup","Vaccination completed, next due in 1 year"
"249","5107","2022-08-13","Annual Checkup","Vaccination completed, next due in 1 year"
"250","4768","2022-06-26","Injury","Sprain identified, rest and limited movement advised"
"251","6901","2022-11-10","Ear Infection","Medication and follow-up in 2 weeks for infection"
"252","7972","2023-06-14","Annual Checkup","Diet adjustment recommended for weight management"
"253","9","2023-12-15","Annual Checkup","All clear, healthy diet recommended"
"254","1956","2023-09-24","Dental Cleaning","Cleaning done, no dental issues"
"255","6897","2022-08-11","Annual Checkup","All clear, healthy diet recommended"
"256","1540","2023-01-24","Annual Checkup","Diet adjustment recommended for weight management"
"257","6089","2022-05-11","Injury","Sprain identified, rest and limited movement advised"
"258","1057","2022-08-29","Annual Checkup","Diet adjustment recommended for weight management"
"259","9689","2022-04-15","Annual Checkup","Vaccination completed, next due in 1 year"
"260","8136","2023-10-03","Annual Checkup","Vaccination completed, next due in 1 year"
"261","6376","2022-04-04","Injury","Sprain identified, rest and limited movement advised"
"262","9930","2022-09-05","Injury","Sprain identified, rest and limited movement advised"
"263","6518","2023-03-26","Annual Checkup","All clear, healthy diet recommended"
"264","9558","2022-06-15","Injury","Physical therapy recommended for joint issues"
"265","1939","2022-10-06","Injury","Minor surgery performed, recovery monitored"
"266","6917","2023-11-22","Annual Checkup","Diet adjustment recommended for weight management"
"267","2278","2023-06-15","Dental Cleaning","Cleaning done, no dental issues"
"268","2544","2023-10-07","Annual Checkup","All clear, healthy diet recommended"
"269","1286","2022-12-14","Annual Checkup","Vaccination completed, next due in 1 year"
"270","4539","2023-10-13","Dental Cleaning","Cleaning done, no dental issues"
"271","5968","2023-02-13","Dental Cleaning","Cleaning done, no dental issues"
"272","2144","2023-08-30","Annual Checkup","Diet adjustment recommended for weight management"
"273","6087","2023-01-27","Dental Cleaning","Cleaning done, no dental issues"
"274","6556","2022-05-22","Injury","Minor surgery performed, recovery monitored"
"275","696","2022-12-27","Dental Cleaning","Cleaning done, no dental issues"
"276","7972","2022-11-18","Annual Checkup","Vaccination completed, next due in 1 year"
"277","4955","2023-02-11","Dental Cleaning","Cleaning done, no dental issues"
"278","9179","2023-10-19","Annual Checkup","Vaccination completed, next due in 1 year"
"279","5630","2023-05-24","Annual Checkup","Vaccination completed, next due in 1 year"
"280","6338","2022-04-17","Dental Cleaning","Cleaning done, no dental issues"
"281","997","2022-10-28","Injury","Physical therapy recommended for joint issues"
"282","4073","2023-10-16","Dental Cleaning","Cleaning done, no dental issues"
"283","831","2023-02-14","Annual Checkup","Diet adjustment recommended for weight management"
"284","2549","2022-10-30","Injury","Minor surgery performed, recovery monitored"
"285","1640","2023-08-05","Annual Checkup","Vaccination completed, next due in 1 year"
"286","4278","2023-01-15","Dental Cleaning","Cleaning done, no dental issues"
"287","3040","2022-05-02","Ear Infection","Medication and follow-up in 2 weeks for infection"
"288","5958","2022-06-22","Annual Checkup","All clear, healthy diet recommended"
"289","1006","2022-05-09","Annual Checkup","All clear, healthy diet recommended"
"290","3444","2023-01-22","Injury","Sprain identified, rest and limited movement advised"
"291","1585","2022-06-27","Annual Checkup","Vaccination completed, next due in 1 year"
"292","2016","2023-03-02","Injury","Physical therapy recommended for joint issues"
"293","7716","2022-08-19","Injury","Sprain identified, rest and limited movement advised"
"294","9632","2022-09-17","Annual Checkup","Vaccination completed, next due in 1 year"
"295","7515","2023-10-16","Injury","Physical therapy recommended for joint issues"
"296","2794","2022-06-22","Dental Cleaning","Cleaning done, no dental issues"
"297","9472","2022-09-23","Annual Checkup","All clear, healthy diet recommended"
"298","9445","2022-07-06","Annual Checkup","Vaccination completed, next due in 1 year"
"299","2448","2023-01-14","Injury","Minor surgery performed, recovery monitored"
"300","3228","2022-07-17","Dental Cleaning","Cleaning done, no dental issues"
"301","1292","2023-05-30","Dental Cleaning","Cleaning done, no dental issues"
"302","4238","2023-08-19","Injury","Physical therapy recommended for joint issues"
"303","3228","2022-04-03","Annual Checkup","Vaccination completed, next due in 1 year"
"304","7515","2022-10-10","Annual Checkup","Diet adjustment recommended for weight management"
"305","9124","2022-12-23","Ear Infection","Medication and follow-up in 2 weeks for infection"
"306","1207","2022-07-07","Dental Cleaning","Cleaning done, no dental issues"
"307","6141","2023-12-18","Annual Checkup","All clear, healthy diet recommended"
"308","337","2023-01-01","Annual Checkup","Diet adjustment recommended for weight management"
"309","5017","2023-08-25","Dental Cleaning","Cleaning done, no dental issues"
"310","7281","2022-11-16","Annual Checkup","Vaccination completed, next due in 1 year"
"311","7956","2023-08-22","Injury","Sprain identified, rest and limited movement advised"
"312","5940","2023-06-28","Annual Checkup","Vaccination completed, next due in 1 year"
"313","9960","2022-07-22","Dental Cleaning","Cleaning done, no dental issues"
"314","6725","2023-09-02","Annual Checkup","Diet adjustment recommended for weight management"
"315","5850","2022-12-01","Annual Checkup","Vaccination completed, next due in 1 year"
"316","3856","2023-10-29","Annual Checkup","Vaccination completed, next due in 1 year"
"317","8586","2022-08-25","Dental Cleaning","Cleaning done, no dental issues"
"318","5890","2022-05-16","Annual Checkup","Vaccination completed, next due in 1 year"
"319","6121","2023-11-16","Annual Checkup","All clear, healthy diet recommended"
"320","7778","2022-04-18","Annual Checkup","Diet adjustment recommended for weight management"
"321","8903","2023-10-22","Dental Cleaning","Cleaning done, no dental issues"
"322","4056","2023-01-10","Annual Checkup","All clear, healthy diet recommended"
"323","454","2022-08-08","Annual Checkup","Diet adjustment recommended for weight management"
"324","637","2022-07-11","Dental Cleaning","Cleaning done, no dental issues"
"325","3291","2023-04-06","Annual Checkup","Diet adjustment recommended for weight management"
"326","2471","2023-05-01","Annual Checkup","Vaccination completed, next due in 1 year"
"327","8833","2022-04-29","Dental Cleaning","Cleaning done, no dental issues"
"328","2726","2022-11-18","Injury","Physical therapy recommended for joint issues"
"329","4024","2023-08-11","Ear Infection","Medication and follow-up in 2 weeks for infection"
"330","3846","2023-07-06","Annual Checkup","Vaccination completed, next due in 1 year"
"331","7144","2022-09-18","Annual Checkup","Diet adjustment recommended for weight management"
"332","9018","2023-10-30","Annual Checkup","Diet adjustment recommended for weight management"
"333","7825","2022-10-09","Annual Checkup","Diet adjustment recommended for weight management"
"334","7416","2023-08-20","Dental Cleaning","Cleaning done, no dental issues"
"335","4778","2023-05-13","Annual Checkup","All clear, healthy diet recommended"
"336","2178","2023-12-15","Dental Cleaning","Cleaning done, no dental issues"
"337","5404","2023-06-28","Annual Checkup","Vaccination completed, next due in 1 year"
"338","6725","2022-07-02","Annual Checkup","Vaccination completed, next due in 1 year"
"339","4768","2022-07-04","Dental Cleaning","Cleaning done, no dental issues"
"340","1006","2023-09-17","Annual Checkup","Diet adjustment recommended for weight management"
"341","239","2023-09-17","Annual Checkup","Diet adjustment recommended for weight management"
"342","7788","2023-08-08","Injury","Sprain identified, rest and limited movement advised"
"343","3723","2023-04-25","Ear Infection","Medication and follow-up in 2 weeks for infection"
"344","2869","2023-06-23","Injury","Physical therapy recommended for joint issues"
"345","4912","2023-10-28","Annual Checkup","Vaccination completed, next due in 1 year"
"346","9813","2023-03-05","Dental Cleaning","Cleaning done, no dental issues"
"347","236","2023-06-19","Dental Cleaning","Cleaning done, no dental issues"
"348","2794","2023-01-11","Dental Cleaning","Cleaning done, no dental issues"
"349","379","2022-05-15","Ear Infection","Medication and follow-up in 2 weeks for infection"
"350","1370","2022-08-06","Annual Checkup","Vaccination completed, next due in 1 year"
"351","3605","2022-08-09","Injury","Physical therapy recommended for joint issues"
"352","2448","2022-10-13","Annual Checkup","Vaccination completed, next due in 1 year"
"353","6824","2023-03-20","Ear Infection","Medication and follow-up in 2 weeks for infection"
"354","3723","2023-10-02","Dental Cleaning","Cleaning done, no dental issues"
"355","8208","2023-03-12","Injury","Sprain identified, rest and limited movement advised"
"356","637","2023-07-07","Injury","Physical therapy recommended for joint issues"
"357","8804","2022-09-07","Annual Checkup","Vaccination completed, next due in 1 year"
"358","2887","2023-07-13","Injury","Physical therapy recommended for joint issues"
"359","8967","2023-04-30","Injury","Sprain identified, rest and limited movement advised"
"360","8387","2022-07-09","Dental Cleaning","Cleaning done, no dental issues"
"361","3040","2023-02-17","Annual Checkup","Diet adjustment recommended for weight management"
"362","6338","2022-05-18","Annual Checkup","All clear, healthy diet recommended"
"363","2840","2023-12-03","Ear Infection","Medication and follow-up in 2 weeks for infection"
"364","7080","2023-04-21","Dental Cleaning","Cleaning done, no dental issues"
"365","7757","2023-08-03","Dental Cleaning","Cleaning done, no dental issues"
"366","8572","2023-09-05","Annual Checkup","All clear, healthy diet recommended"
"367","6147","2023-06-04","Annual Checkup","All clear, healthy diet recommended"
"368","4410","2023-10-30","Dental Cleaning","Cleaning done, no dental issues"
"369","2783","2022-11-06","Annual Checkup","Diet adjustment recommended for weight management"
"370","5799","2023-06-19","Annual Checkup","All clear, healthy diet recommended"
"371","5037","2022-07-10","Annual Checkup","Diet adjustment recommended for weight management"
"372","1939","2023-12-24","Injury","Sprain identified, rest and limited movement advised"
"373","9221","2022-06-26","Dental Cleaning","Cleaning done, no dental issues"
"374","5984","2022-04-27","Ear Infection","Medication and follow-up in 2 weeks for infection"
"375","9124","2023-01-02","Annual Checkup","Diet adjustment recommended for weight management"
"376","9968","2023-10-11","Annual Checkup","Vaccination completed, next due in 1 year"
"377","2843","2022-06-23","Injury","Sprain identified, rest and limited movement advised"
"378","2513","2023-03-14","Annual Checkup","All clear, healthy diet recommended"
"379","3300","2022-09-09","Dental Cleaning","Cleaning done, no dental issues"
"380","3223","2023-10-01","Annual Checkup","All clear, healthy diet recommended"
"381","9186","2022-10-23","Annual Checkup","Diet adjustment recommended for weight management"
"382","1956","2023-11-16","Annual Checkup","Vaccination completed, next due in 1 year"
"383","8691","2022-11-16","Dental Cleaning","Cleaning done, no dental issues"
